Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
2021,4,10,7,0,17,,,"INDONESIA: JAVA: LUMAJANG, MALANG",-8.562,112.519,82,6,5,10,1,,,39,1,,3,85,2,3024,4,10,1,,,39,1,,3,85,2,3024,4,Indonesia,Asia,AU
1992,12,12,5,29,26.3,2214,,"INDONESIA:  FLORES REGION, MAUMERE, BABI",-8.48,121.896,28,7.8,11,1000,4,,,500,3,100,4,31785,4,,,2500,4,,,2103,4,100,4,31785,4,,,Indonesia,Asia,AU
2019,3,17,7,7,25,,,INDONESIA:  LOMBOK ISLAND,-8.418,116.521,10,5.6,,6,1,,,182,3,,2,843,3,3613,4,6,1,,,182,3,,2,843,3,3613,4,Indonesia,Asia,AU
1982,12,25,12,28,2.8,2689,,INDONESIA:  FLORES ISLAND:  EASTERN,-8.405,123.08,33,5.9,,13,1,,,390,3,1.45,2,1875,4,,,13,1,,,390,3,1.45,2,1875,4,,,Indonesia,Asia,AU
1979,12,17,19,58,23.8,,,"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK",-8.39,115.889,33,6.3,,27,1,,,200,3,,2,,,,,27,1,,,200,3,,,,,,,Indonesia,Asia,AU
2021,10,15,20,18,21,,,"INDONESIA:  BALI: KARANGASEM, BANGLI",-8.356,115.458,10,5.1,8,3,1,,,82,2,,3,366,3,524,3,3,1,,,82,2,,3,366,3,524,3,Indonesia,Asia,AU
2018,8,19,4,11,4,5816,,INDONESIA:  LOMBOK ISLAND,-8.337,116.599,16,6.3,,2,1,,,1,1,,2,,,1705,4,2,1,,,1,1,,2,,,1705,4,Indonesia,Asia,AU
2004,1,1,20,59,31.9,,,"INDONESIA:  BALI, LOMBOK",-8.31,115.788,45,5.8,6,1,1,,,29,1,12,3,6000,4,,,1,1,,,29,1,12,3,6000,4,,,Indonesia,Asia,AU
2018,8,9,5,25,38,,,INDONESIA:  LOMBOK ISLAND,-8.307,116.23,15,5.9,,6,1,,,24,1,,2,,,,3,6,1,,,24,1,,2,,,,3,Indonesia,Asia,AU
2003,3,25,2,53,25,,,INDONESIA:  FLORES:  REO,-8.294,120.743,33,6.5,,4,1,,,20,1,,1,,,,2,4,1,,,20,1,,1,,,,2,Indonesia,Asia,AU
2018,8,5,11,47,3,5685,,INDONESIA:  LOMBOK ISLAND,-8.258,116.438,34,6.9,,560,3,,,7733,4,509,4,,3,83392,4,560,3,,,7733,4,509,4,,3,83392,4,Indonesia,Asia,AU
1979,10,20,1,41,10.4,,,INDONESIA:  SUMBAWA ISLAND,-8.254,115.847,38,6.2,,2,1,,,40,1,,2,,,,,2,1,,,40,1,,2,,,,,Indonesia,Asia,AU
2006,12,1,14,1,47.5,,,INDONESIA:  SUMABAWA:  BIMA,-8.251,118.777,43,6.3,,1,1,,,14,1,,1,20,1,,,1,1,,,14,1,,1,20,1,,,Indonesia,Asia,AU
1987,11,26,1,43,14,2178,4663,"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG",-8.247,124.155,33,6.5,,125,3,,,108,3,5,2,237,3,,,125,3,,,108,3,5,2,237,3,,,Indonesia,Asia,AU
2018,7,28,22,48,14,5778,,INDONESIA:  LOMBOK ISLAND,-8.24,116.508,14,6.4,,17,1,,,355,3,,3,5448,4,,3,17,1,,,355,3,,3,5448,4,,3,Indonesia,Asia,AU
2009,11,8,19,41,43.3,,,INDONESIA:  SUMABAWA:  BIMA,-8.207,118.631,18,6.6,,2,1,,,200,3,2.43,2,,,,,2,1,,,200,3,2.43,2,,,,2,Indonesia,Asia,AU
1961,3,16,13,45,35.6,,,INDONESIA:  FLORES:  ENDEH,-8.2,122,74,6.5,8,2,1,,,6,1,,2,,,,,2,1,,,6,1,,2,,,,,Indonesia,Asia,AU
1976,7,14,7,13,24,,,INDONESIA:  BALI,-8.17,114.888,40,6.5,,573,3,,,4755,4,195,4,,,,,573,3,,,4755,4,195,4,,,,,Indonesia,Asia,AU
