Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
2005,1,23,20,10,12.1,,,INDONESIA:  SULAWESI:  PALU,-1.198,119.933,11,6.3,,1,1,,,4,1,,2,,,,,1,1,,,4,1,,2,,,,,Indonesia,Asia,BS
2000,5,4,4,21,16.2,2338,,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,26,7.6,,46,1,,,264,3,30,4,10000,4,,,46,1,,,264,3,30,4,10000,4,,,Indonesia,Asia,BS
1996,3,28,23,3,49.8,,,"ECUADOR:  COTOPAXI, PASTAZA, TUNGURAHUA, AMBATO",-1.036,-78.737,33,5.9,6,27,1,,,100,2,7,3,,3,,3,27,1,,,100,2,7,3,,3,,3,Ecuador,South America,ND
1987,9,22,13,43,37.6,,,"ECUADOR:  AMBATO, LATACUNGA, RIOBAMBA",-0.978,-78.05,10,6.2,,2,1,,,12,1,,2,,3,,,2,1,,,12,1,,2,,3,,,Ecuador,South America,ND
2018,7,21,7,58,0,,,INDONESIA: SUMATRA: SOLOK,-0.969,100.769,10,5.2,,1,1,,,2,1,,2,2,1,,3,1,1,,,2,2,,1,2,1,,3,Indonesia,Asia,CP
1996,2,17,5,59,30.5,2260,,"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",-0.891,136.952,33,8.2,9,54,2,,,423,3,4.2,2,5043,4,,,164,3,,,423,3,4.2,2,5043,4,,,Indonesia,Asia,BH
2009,9,30,10,16,9.2,4441,,INDONESIA:  SUMATRA:  PADANG,-0.72,99.867,81,7.5,,1117,4,,,1214,4,2200,4,,3,181665,4,1117,4,,,1214,4,2200,4,,3,181665,4,Indonesia,Asia,CP
2016,9,10,12,27,41,,,TANZANIA:  LAKE VICTORIA;  UGANDA: RAKAI,-1.036,31.618,40,5.9,,23,1,,,252,3,458,4,1172,4,6281,4,23,1,,,252,3,458,4,1172,4,6281,4,Tanzania,Africa,SM
1998,8,4,18,59,20.1,,,"ECUADOR:  BAHIA DE CARAQUEZ, CANOA",-0.593,-80.393,33,7.2,,3,1,,,40,1,,2,,,,3,3,1,,,40,1,,2,,,,2,Ecuador,South America,ND
2019,7,14,9,10,50,,,INDONESIA:  MOLUCCA ISLANDS:  N,-0.529,128.093,10,7.3,,8,1,,,134,3,,2,1176,4,1158,4,8,1,,,134,3,,2,1176,4,1158,4,Indonesia,Asia,BH
2007,3,6,3,49,38.9,,,INDONESIA:  SUMATRA:  SOUTHERN,-0.493,100.498,19,6.4,8,67,2,,,826,3,,3,43719,4,,4,67,2,,,826,3,,3,43719,4,,4,Indonesia,Asia,CP
2004,2,16,14,44,39.9,,,INDONESIA:  SUMATRA:  PADANGPANJANG,-0.466,100.655,56,5.1,,5,1,,,7,1,,1,,,,,5,1,,,7,1,,,,,100,2,Indonesia,Asia,CP
2009,1,3,19,43,50.6,3647,,PAPUA NEW GUINEA:  NEAR NORTH COAST,-0.414,132.885,17,7.6,,5,1,,,250,3,,3,,,840,3,5,1,,,250,3,,3,,,840,3,Papua New Guinea,Oceania,BH
2018,9,28,7,0,14,,,INDONESIA:  SULAWESI,-0.401,119.771,4,6.1,,1,1,,,10,1,,1,,1,,1,1,1,,,10,1,,1,,1,,1,Indonesia,Asia,BS
2018,9,28,10,2,25,5689,,INDONESIA:  SULAWESI,-0.256,119.846,20,7.5,8,4340,4,667,3,10679,4,1500,4,3673,4,39191,4,4340,4,667,3,10679,4,1500,4,3673,4,39191,4,Indonesia,Asia,BS
1990,8,11,2,59,54.9,,,"ECUADOR:  PAMASQUI,  QUITO",-0.059,-78.449,5,4.4,,4,1,,,10,1,,3,,,1300,4,4,1,,,10,1,,3,,,1300,4,Ecuador,South America,ND
2014,8,12,19,58,13,,,ECUADOR:  QUITO,-0.018,-78.322,12,5.1,5,2,1,,,8,1,,1,,,89,2,2,1,,,8,1,,1,,,89,2,Ecuador,South America,ND
1923,9,1,2,58,37,1526,,"JAPAN:  TOKYO, YOKOHAMA",35.1,139.5,35,7.9,,142807,4,43476,4,47000,4,600,4,,,,,142807,4,43476,4,47000,4,600,4,695000,4,,,Japan,Asia,AM
2022,2,25,1,39,27,,,"INDONESIA: W SUMATRA: PASAMAN, WEST PASAMAN",0.233,100.106,12,6.2,9,11,1,4,1,388,3,,3,103,3,4800,4,11,1,4,1,388,3,,3,103,3,4800,4,Indonesia,Asia,CP
2017,5,25,9,55,51,,,TANZANIA: MWANZA,-3.043,32.888,10,4.4,,1,1,,,18,1,,,,,,,1,1,,,18,1,,,,,,,Tanzania,Africa,SM
2016,4,16,23,58,0,5599,,"ECUADOR:  NEAR WEST COAST: MANABI, ESMERALDAS",0.35,-80.16,17,7.8,8,663,3,9,1,6274,4,3300,4,6998,4,29672,4,663,3,9,1,6274,4,3300,4,6998,4,29672,4,Ecuador,South America,ND
2016,5,18,16,47,26,,,ECUADOR:  MANABI PROVINCE,0.495,-79.616,30,6.9,4,1,1,,,162,3,,1,,1,32,1,1,1,,,162,3,,1,,1,32,1,Ecuador,South America,ND
2006,12,17,21,39,17.4,,,"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",0.626,99.859,30,5.8,,7,1,,,100,2,,3,680,3,,,7,1,,,100,2,,3,680,2,,,Indonesia,Asia,CP
1968,3,20,19,2,50.3,,,"KENYA:  HOMA BAY, USIRI, GOT KOKECH",-0.6,34.4,33,4.6,,1,1,,,1,1,,1,,,,,1,1,,,1,1,,1,,,,,Kenya,Africa,SM
2016,12,19,7,11,0,,,ECUADOR:  ESMERALDAS,0.93,-79.84,6,5.4,6,3,1,,,47,1,,2,10,1,70,2,3,1,,,47,1,,2,10,1,70,2,Ecuador,South America,ND
2008,1,22,17,14,57.9,,,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.011,97.442,20,6.1,,1,1,,,5,1,,1,,,,,1,1,,,5,1,,1,,,,2,Indonesia,Asia,CP
1994,1,21,2,24,29.9,2224,,INDONESIA:  KAU,1.015,127.733,20,7,,9,1,,,300,3,,2,,,550,3,9,1,,,300,3,,2,,,550,3,Indonesia,Asia,BH
2007,1,21,11,27,45,,,INDONESIA:  MOLUCCA ISLANDS:  N,1.065,126.282,22,7.5,,4,1,,,4,1,,1,,,,,4,1,,,4,1,,1,,,,,Indonesia,Asia,BH
2018,6,12,9,35,48,,,COLOMBIA:  PASTO,1.067,-77.272,11,4.9,,2,1,,,7,1,,2,1,1,,3,2,1,,,7,1,,2,1,1,,3,Colombia,South America,ND
1927,3,7,9,27,,1576,,JAPAN:  HONSHU:  SW,35.6,135.1,10,7.3,,3022,4,,,3295,4,40,4,15594,4,9821,4,3022,4,,,3295,4,40,4,15594,4,9821,4,Japan,Asia,AM
1983,10,25,0,36,23.4,,,INDONESIA:  CENTRAL SULAWESI,1.131,120.858,33,6.1,7,2,1,,,4,1,,2,20,1,4,1,2,1,,,4,1,,2,20,1,4,1,Indonesia,Asia,MS
1990,4,18,13,39,19,,,INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO,1.186,122.857,26,7.6,,3,1,,,25,1,,3,,,1140,4,3,1,,,25,1,,3,,,1140,4,Indonesia,Asia,MS
2008,11,16,17,2,32.7,3623,,INDONESIA:  MINAHASSA PENINSULA,1.271,122.091,30,7.3,,6,1,,,77,2,,3,,,1000,3,6,1,,,77,2,,3,,,1000,3,Indonesia,Asia,MS
1958,1,19,14,7,27,1877,,COLOMBIA-ECUADOR,1.5,-79.5,60,7.6,9,111,3,,,46,1,,2,,2,,,115,3,,,46,1,,2,,2,,,Colombia,South America,ND
1979,12,12,7,59,5.6,2122,,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.555,-79.276,23,8.1,9,600,3,,,20000,4,8,3,10000,4,,,600,3,,,20000,4,8,3,10000,4,,,Colombia,South America,ND
2019,11,14,16,17,40,5733,,INDONESIA:  MOLUCCA ISLANDS:  N,1.6,126.416,33,7.1,,1,1,,,3,1,,1,,,36,1,1,1,,,3,1,,1,,,36,1,Indonesia,Asia,BH
2005,3,28,16,9,36.5,2487,,INDONESIA:  SUMATERA:  SW,2.085,97.108,30,8.6,,1303,4,,,340,3,,4,300,3,300,3,1313,4,,,340,3,,4,300,3,,,Indonesia,Asia,CP
1964,5,7,5,45,0,,,TANZANIA,-4,34.9,33,6,,1,1,,,19,1,,3,,,,,1,1,,,19,1,,3,,,,,Tanzania,Africa,SM
2012,4,11,8,38,36.7,5449,,INDONESIA:  N SUMATRA:  OFF WEST COAST,2.327,93.063,20,8.6,,10,1,,,12,1,,1,,,,2,10,1,,,12,1,,1,,,,2,Indonesia,Asia,BU
2003,5,26,19,23,27.9,,,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2.354,128.855,31,7,,1,1,,,7,1,,1,28,1,20,1,1,1,,,7,1,,1,28,1,20,1,Indonesia,Asia,PS
1983,3,31,13,12,52.6,,,"COLOMBIA:  SW, POPAYAN",2.461,-76.686,22,4.9,8,350,3,,,1200,4,410.9,4,,,,,350,3,,,1200,4,410.9,4,,,,,Colombia,South America,ND
2008,2,20,8,8,30.5,,,INDONESIA:  SUMATERA:  ACEH PROVINCE,2.768,95.964,26,7.4,,3,1,,,25,1,,,,,,,3,1,,,25,1,,,,,,,Indonesia,Asia,BU
2002,11,2,1,26,10.7,,,INDONESIA:  SUMATERA:  SIMEULUE,2.824,96.085,30,7.3,,3,1,,,65,2,,3,,,994,3,3,1,,,65,2,,3,,,994,3,Indonesia,Asia,BU
1929,5,1,15,37,35.6,,,IRAN:  KOPET-DAGH,38.09,57.705,10,7.2,9,3800,4,,,1121,4,,4,,,,,3800,4,,,1121,4,,4,,,,,Iran,Asia,AR
1990,11,15,2,34,32.4,,,"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE",3.908,97.457,48,6.8,,1,1,,,32,1,2.1,2,,,,,1,1,,,32,1,2.1,2,,,,,Indonesia,Asia,IN
1995,2,8,18,40,25.3,,,"COLOMBIA:  CALI, PEREIRA, ARMENIA, CALARCA",4.104,-76.622,74,6.4,,45,1,,,400,3,50,4,2000,4,,,45,1,1,,400,3,50,4,2000,4,,,Colombia,South America,ND
1930,11,25,19,2,47,,,JAPAN:  HONSHU:  IDU,35,139,19,7.1,,259,3,,,1285,4,,4,8099,4,,,259,3,,,1285,4,,4,8099,4,,,Japan,Asia,AM
1999,1,25,18,19,16.8,,,"COLOMBIA:  ARMENIA, CALARCA, PEREIRA, CALDAS, HUILA",4.461,-75.724,17,6.2,,1185,4,700,3,4750,4,1857.366,4,,4,,,1185,4,700,3,4750,4,1857.366,4,,4,,,Colombia,South America,ND
1961,12,20,13,25,0,,,COLOMBIA: EJE CAFETERO,4.49,-75.51,163,6.8,8,23,1,,,100,2,,2,,1,,2,23,1,,,100,2,,2,,1,,2,Colombia,South America,ND
1931,2,2,22,46,51.3,1636,,NEW ZEALAND:  HAWKE BAY,-39.772,176.025,35,7.7,9,261,3,,,400,3,25,4,,,,,261,3,,,400,3,25,4,,,,,New Zealand,Oceania,AN
1966,9,4,22,14,0,,,COLOMBIA,4.62,-73.98,15,5.3,7,6,1,,,30,1,,2,200,3,,,6,1,,,30,1,,2,200,3,,,Colombia,South America,ND
2013,7,2,7,37,2.6,,,INDONESIA:  BANDA ACEH,4.645,96.665,13,6.1,,48,1,,,2532,4,113,4,20401,4,,,48,1,,,2532,4,113,4,20401,4,,,Indonesia,Asia,BU
1979,11,23,23,40,29.8,,,COLOMBIA:  MANIZALES-ARMENIA,4.805,-76.217,108,6.4,9,72,2,,,600,3,20,3,,,,,72,2,,,600,3,20,3,,,,,Colombia,South America,ND
2013,1,21,22,22,52.7,,,INDONESIA:  SUMATERA:  N,4.927,95.907,12,6.1,,1,1,,,15,1,,1,,,71,2,1,1,,,15,1,,1,,,71,2,Indonesia,Asia,BU
1932,4,6,9,11,18,,,CHINA:  HUBEI PROVINCE,31.4,115,15,6,8,6,1,,,27,1,,2,,3,,,6,1,,,27,1,,2,,3,,,China,Asia,AM
1987,4,25,19,22,7.2,,,"INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,",2.244,98.866,11,6.6,,2,1,,,22,1,1,2,300,3,,,2,1,,,22,1,1,2,300,3,,,Indonesia,Asia,SU
2013,10,22,5,40,1,,,INDONESIA:  BANDA ACEH,5.103,95.971,10,5.5,5,1,1,,,2,1,,1,,,160,3,1,1,,,2,1,,1,,,160,3,Indonesia,Asia,BU
1962,7,30,20,18,52.3,,,"COLOMBIA:  MISTRATO, MANIZALES",5.2,-76.4,69,6.8,,47,1,,,300,3,,3,,,,3,47,1,,,300,3,,3,,,,3,Colombia,South America,ND
2016,12,6,22,3,39,,,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,5.283,96.168,13,6.5,8,104,3,,,857,3,100,4,245,3,18752,4,104,3,,,857,3,100,4,245,3,18752,4,Indonesia,Asia,BU
1979,12,15,0,2,41.6,,,INDONESIA:  S SUMATERA,-3.299,102.712,33,6.6,,8,1,,,162,3,,2,2500,4,,,8,1,,,162,3,,3,2500,4,,,Indonesia,Asia,SU
2002,3,5,21,16,9.1,2394,,PHILIPPINES:  MINDANAO,6.033,124.249,31,7.5,,15,1,,,100,2,1.714,2,,,800,3,15,1,,,100,2,1.714,2,,,800,3,Philippines,Asia,PS
1976,8,16,16,11,7.3,2086,,PHILIPPINES:  MINDANAO:  S,6.292,124.09,33,8,6,1200,4,,,3500,4,134,4,,,,,8000,4,,,10000,4,134,4,,,,,Philippines,Asia,PS
2019,12,15,6,11,52,,,PHILIPPINES:  MINDANAO:  DAVAO,6.708,125.188,22,6.8,,13,1,1,1,210,3,,4,4546,4,21495,4,13,1,1,1,210,3,,4,4546,4,21495,4,Philippines,Asia,PS
2019,10,16,11,37,6,,,"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO",6.712,125.005,14,6.4,7,7,1,,,215,3,,3,506,3,2664,4,7,1,,,215,3,,3,506,3,2664,4,Philippines,Asia,PS
1967,7,29,10,24,24.6,,,COLOMBIA,6.747,-73.03,161,6.8,8,20,1,,,150,3,2,2,,,,3,20,1,,,150,3,2,2,,,,3,Colombia,South America,ND
2019,7,9,12,37,1,,,"PHILIPPINES:  MINDANAO:  MAKILALA, TULUNAN",6.802,125.169,24,5.6,,1,1,,,3,1,,1,,,119,3,1,1,,,3,1,,1,,,119,3,Philippines,Asia,PS
2019,10,29,1,4,44,,,"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO",6.802,125.04,15,6.6,,12,1,,,417,3,,3,22363,4,12119,4,13,1,,1,562,3,,3,23303,4,15306,4,Philippines,Asia,PS
1974,4,18,1,19,22.6,,,"COLOMBIA:  NE, CEPITA, SAN ANDREAS",6.89,-72.93,24,5,,4,1,,,10,1,,2,,,120,3,4,1,,,10,1,,2,,,120,3,Colombia,South America,ND
1992,10,18,15,11,59.1,,,"COLOMBIA:  MURINDO, APARTADO, MEDELLIN",7.075,-76.862,10,7.4,,11,1,,,115,2,,2,,2,,,11,1,,,115,2,,2,,,,,Colombia,South America,ND
1976,7,11,16,54,31.8,5669,,PANAMA: DARIEN,7.4,-78.1,22,6.7,,5,1,,,7,1,,1,,,,,5,1,,,7,1,,1,,,,,Panama,North America,ND
1985,3,18,19,49,45.8,,,"PHILIPPINES:  PAGADIAN,  ZAMBOANGA",7.758,123.544,33,6.5,5,2,1,,,25,1,,2,30,1,,,2,1,,,25,1,,2,30,1,,,Philippines,Asia,PS
1987,5,23,17,9,4.4,,,PHILIPPINES:  MINDANAO:  TALAKAG-MALAYBALAY,8.047,125.41,32,5.2,2,1,1,,,2,1,,1,,,,,1,1,,,2,1,,1,,,,,Philippines,Asia,PS
1939,12,26,23,57,22.6,2301,,TURKEY:  ERZINCAN,39.77,39.533,35,7.7,12,32700,4,,,100000,4,20,3,120000,4,,,32700,4,,,100000,4,20,3,120000,4,,,Turkey,Asia,AR
2003,12,25,7,11,11.5,,,PANAMA-COSTA RICA:  PUERTO ARMUELLES,8.416,-82.824,33,6.5,,2,1,,,75,2,,2,,,,3,2,1,,,75,2,,2,,,,3,Panama,North America,CO
2015,11,22,20,38,5,,,VENEZUELA:  MERIDA,8.48,-71.42,5,5.1,4,1,1,,,3,1,,1,,,6,1,1,1,,,3,1,,1,,,6,1,Venezuela,South America,ND
1990,3,26,22,47,16.7,,,PHILIPPINES:  SANTIAGO,9.253,125.606,39,5.5,4,1,1,,,2,1,,1,,,,,1,1,,,2,1,,1,,,,,Philippines,Asia,PS
1983,7,3,17,14,23.1,,,COSTA RICA:  SAN JOSE,9.652,-83.688,33,6.2,9,2,1,,,60,2,5,2,,,,,2,1,,,60,2,5,2,,,,,Costa Rica,North America,CA
1991,4,22,21,56,51.8,2202,,"COSTA RICA:  LIMON, PANDORA;  PANAMA",9.685,-83.073,10,7.6,10,87,2,,,895,3,510,4,,3,,,90,2,,,895,3,510,4,,3,,,Costa Rica,North America,CA
1993,7,10,20,40,58.9,,,"COSTA RICA:  TURRIALBA, CARTAGO",9.821,-83.622,20,5.8,,2,1,,,9,1,,1,,,,,2,1,,,9,1,,1,,,,,Costa Rica,North America,CA
2017,3,5,0,8,1,,,PHILIPPINES: SURIGAO DEL NORTE,9.831,125.496,11,5.7,,1,1,,,45,1,,1,13,1,,,1,1,,,45,1,,1,13,1,,,Philippines,Asia,PS
1990,12,22,17,27,54.8,,,"COSTA RICA:  ALAJUELA, SANTIAGO DE PURISCAL",9.869,-84.302,17,5.7,8,2,1,,,350,3,19.5,3,,,,,2,1,,,350,3,19.5,3,,,,,Costa Rica,North America,CA
2013,10,15,0,12,5,,,"PHILIPPINES:  BOHOL, CEBU, SIQUIJOR IS",9.88,124.117,19,7.1,7,222,3,8,1,976,3,51.8,4,,4,,4,222,3,8,1,976,3,51.8,4,,4,,4,Philippines,Asia,PS
2017,2,10,14,4,32,,,PHILIPPINES: SURIGAO DEL NORTE,9.907,125.452,15,6.5,8,8,1,,,202,3,40,4,215,3,3042,4,8,1,,,202,3,40,4,215,3,3042,4,Philippines,Asia,PS
2012,2,6,3,49,12.5,,,PHILIPPINES:  NEGROS ORIENTAL PROVINCE,9.999,123.206,11,6.7,,51,2,62,2,112,3,9,3,15000,4,,,51,2,62,2,112,3,9,3,15000,4,,,Philippines,Asia,PS
1944,12,7,4,35,,1756,,JAPAN:  OFF SOUTHEAST COAST KII PENINSULA,34,137.1,30,8.1,,1223,4,,,2135,4,,3,26146,4,,,1223,4,,,2135,4,,3,29205,4,46950,4,Japan,Asia,AM
1975,4,5,9,34,36.6,,,VENEZUELA,10.04,-69.75,33,6.1,,3,1,,,20,1,1.2,2,,,,,3,1,,,20,1,1.2,2,,,,,Venezuela,South America,CA
2012,9,5,14,42,7.8,5464,,COSTA RICA:  NICOYA,10.085,-85.315,35,7.6,,2,1,,,20,1,,1,,2,,,2,1,,,20,1,,1,,2,,,Costa Rica,North America,CA
2009,1,8,19,21,35.6,,,COSTA RICA:  LA PAZ,10.165,-84.197,14,6.1,,23,1,17,1,100,2,,3,518,3,,,23,1,17,1,100,2,,3,518,3,,,Costa Rica,North America,CA
1967,7,30,0,4,22,3349,,VENEZUELA,10.559,-67.33,25,6.6,8,300,3,,,1536,4,140,4,,,,,300,3,,,1536,4,140,4,,,,,Venezuela,South America,CA
1986,6,11,13,48,1.3,,,VENEZUELA,10.597,-62.928,19,6.2,7,2,1,,,45,1,1,2,,,,,2,1,,,45,1,1,2,,,,,Venezuela,South America,CA
1997,7,9,19,24,13.1,2274,,VENEZUELA:  CARIACO-CUMANA,10.598,-63.486,20,7,5,81,2,,,522,3,81,4,,,,,81,2,,,522,3,81,4,,,,,Venezuela,South America,CA
1973,4,14,8,34,0.1,,,"COSTA RICA: TILARAN, ARENAL, RIO CHIQUITO",10.679,-84.759,33,6.5,,26,1,,,100,2,0.2,1,,,,,26,1,,,100,2,0.2,1,,,,,Costa Rica,North America,CA
1948,6,28,7,13,0,,,JAPAN:  FUKUI,36.5,136,20,7.3,,5131,4,,,11000,4,1000,4,63000,4,18543,4,5131,4,,,11000,4,1000,4,63000,4,18543,4,Japan,Asia,AM
2012,8,31,12,47,33.3,5463,,"PHILIPPINES:  CAGAYAN DE ORO, TACLOBAN",10.811,126.638,28,7.6,,1,1,,,1,1,0.3,1,,1,,,1,1,,,1,1,0.3,1,,1,,,Philippines,Asia,PS
2017,7,6,8,3,55,,,PHILIPPINES: LEYTE,11.127,124.629,11,6.5,9,4,1,,,448,3,5,3,735,3,1029,4,4,1,,,448,3,5,3,735,3,1029,4,Philippines,Asia,PS
1990,6,14,7,40,56.2,,,"PHILIPPINES:  CULASI, PANAY",11.76,121.899,18,7.1,6,4,1,,,15,1,,2,,,,,4,1,,,15,1,,2,,,,,Philippines,Asia,PS
1983,12,22,4,11,29.2,,,GUINEA:  GAOUAL-KOUMBIA,11.866,-13.529,11,6.2,9,443,3,200,3,1436,4,8,3,4000,4,,,443,3,200,3,1436,4,8,3,4000,4,,,Guinea,Africa,SA
2000,7,6,19,30,20.3,,,NICARAGUA:  MASAYA,11.884,-85.988,33,5.4,,7,1,,,42,1,,3,357,3,1130,4,7,1,,,42,1,,3,357,3,1130,4,Nicaragua,North America,CA
2020,8,18,0,3,48,,,PHILIPPINES:  MASBATE,12.021,124.123,10,6.6,7,2,1,,,50,1,0.57,1,138,3,1167,4,2,1,,,50,1,0.57,1,138,3,1167,4,Philippines,Asia,PS
2003,11,18,17,14,22.6,,,PHILIPPINES:  SAMAR:  CAN-AVID,12.025,125.416,35,6.5,7,1,1,,,21,1,,2,1,1,,3,1,1,,,21,1,,2,1,1,,3,Philippines,Asia,PS
1950,12,10,2,50,42,1812,,"PERU:  ICA,CHIMBOTE,HUARAZ,CAJAMARCA,CUZCO,MOQUEGUA",-14.25,-75.75,80,7,,4,1,,,12,1,,2,,2,,,4,1,,,12,1,,2,,2,,,Peru,South America,AP
1988,6,19,20,19,52.6,,,"PHILIPPINES:  MINDORO:  SAN JOSE, CALAPAN",12.376,121.067,17,6.2,7,2,1,,,2,1,,2,,,,,2,1,,,2,1,,2,,,,,Philippines,Asia,PS
1972,12,23,6,29,42.5,,,NICARAGUA:  MANAGUA,12.4,-86.1,5,6.2,,10000,4,,,20000,4,2968,4,,,,,10000,4,,,20000,4,2968,4,,,,,Nicaragua,North America,CA
2014,4,10,23,27,6,,,"NICARAGUA:  NAGAROTE, MANAGUA",12.403,-86.378,13,6.1,,2,1,,,250,3,3,2,168,3,2210,4,2,1,,,250,3,3,2,168,3,2210,4,Nicaragua,North America,CA
2016,9,28,16,49,1,,,NICARAGUA:  LEON,12.442,-86.515,8,5.5,4,1,1,,,5,1,,2,6,1,487,3,1,1,,,5,1,,2,6,1,487,3,Nicaragua,North America,CA
1953,2,12,8,15,34.9,,,IRAN:  TORUD,35.385,54.979,15,6.6,8,970,3,,,140,3,,,1800,4,,,970,3,,,140,3,,3,1800,4,,,Iran,Asia,AR
1953,5,6,17,16,43,1836,,"CHILE:  CHILLAN, CONCEPCION",-36.5,-72.5,60,7.6,10,9,1,,,26,1,500,4,,,,,9,1,,,26,1,500,4,,,,,Chile,South America,AN
2001,1,13,17,33,32.3,5444,,EL SALVADOR; GUATEMALA,13.049,-88.66,60,7.7,8,844,3,,,4723,4,753,4,108226,4,169632,4,844,3,,,4723,4,753,4,108226,4,169632,4,EL Salvador,North America,CA
2019,5,30,9,3,32,,,EL SALVADOR:  SAN SALVADOR,13.199,-89.306,58,6.6,,1,1,,,1,1,,1,,,2,1,1,1,,,1,1,,1,,,2,1,EL Salvador,North America,CA
1973,3,17,8,30,51.8,3226,,"PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN",13.4,122.8,33,7.5,9,15,1,,,64,2,0.45,1,,,,,15,1,,,64,2,0.45,1,,,,,Philippines,Asia,NA
1965,5,3,10,1,35.2,,,EL SALVADOR:  SAN MARCOS,13.5,-89.3,23,6,6,125,3,,,1138,4,35,4,,,,,125,3,,,1138,4,35,4,,,,,EL Salvador,North America,CA
1994,11,14,19,15,30.6,2234,,PHILIPPINES:  MINDORO,13.525,121.067,32,7.1,,81,2,,,225,3,3.7,2,797,3,3288,4,81,2,,,225,3,3.7,2,797,3,3288,4,Philippines,Asia,NA
2001,2,13,14,22,5.8,,,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.671,-88.938,10,6.6,6,315,3,,,3399,4,348.5,4,41302,4,15706,4,315,3,,,3399,4,348.5,4,41302,4,15706,4,EL Salvador,North America,CA
2017,4,10,23,54,3,,,"EL SALVADOR: SAN SALVADOR,SOYAPANGO",13.766,-89.155,10,4.8,,1,1,,,3,1,,1,,,,2,1,1,,,3,1,,1,,,,2,EL Salvador,North America,CA
1986,10,10,17,49,24.1,,,EL SALVADOR:  SAN SALVADOR,13.827,-89.118,7,5.4,,1100,4,,,10000,4,1500,4,,,,,1100,4,,,20000,4,1500,4,,,,,EL Salvador,North America,CA
1979,10,27,14,35,57.3,,,GUATEMALA,13.833,-90.881,58,6.8,,4,1,,,23,1,,2,,,,,4,1,,,23,1,,2,,,,,Guatemala,North America,CA
2012,11,7,16,35,46.9,5468,,"GUATEMALA:  SAN MARCOS, SAN CRISTOBAL COCHU",13.988,-91.895,24,7.3,,48,2,,,155,3,210,4,2769,4,7561,4,48,2,,,155,3,210,4,2769,4,7561,4,Guatemala,North America,CO
2022,2,16,7,12,25,,,"GUATEMALA: BAJA VERAPAZ, GUATEMALA, QUEZALTENANGO",14.193,-91.297,83,6.2,8,3,1,,,2,1,,2,2,1,31,1,3,1,,,2,1,,2,2,1,31,1,Guatemala,North America,CO
1982,9,29,5,50,32.2,,,HONDURAS-GUATEMALA-EL SALVADOR,14.487,-89.121,12,5.1,4,3,1,,,2,1,,2,,3,554,3,3,1,,,2,1,,2,,3,554,3,Honduras,North America,CA
1937,8,20,11,59,16,1699,,PHILIPPINES:  LUZON,14.5,121.5,60,7.5,8,1,1,,,200,3,,3,,3,,3,1,1,,,200,3,,3,,3,,,Philippines,Asia,EU
2013,9,7,0,13,57,,,"GUATEMALA:  COATEPEQUE, QUETZALTENANGO",14.606,-92.121,66,6.4,7,1,1,,,11,1,,1,3,1,,,1,1,,,11,1,,1,3,1,,,Guatemala,North America,CO
1991,9,18,9,48,13.1,,,"GUATEMALA:  GUATEMALA CITY, PACHUTA, SOLOLA",14.646,-90.986,5,6.2,6,25,1,,,200,3,,3,,,,,25,1,,,200,3,,3,,,,,Guatemala,North America,CO
1993,9,10,19,12,54.6,,,GUATEMALA:  SOUTHWEST; MEXICO:  CHIAPAS,14.717,-92.645,34,7.2,,1,1,,,3,1,,2,,,,,1,1,,,3,1,,2,,,,,Guatemala,North America,CO
2014,7,7,11,23,7,,,MEXICO; GUATEMALA:  SAN MARCOS,14.728,-92.578,67,6.9,5,3,1,,,33,1,,1,,1,50,1,3,1,,,33,1,,1,,1,50,1,Mexico,North America,CO
2017,9,8,4,49,2,5658,,"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",14.761,-94.103,46,8.2,9,98,2,,,251,3,4000,4,47468,4,94027,4,98,2,,,251,3,4000,4,47468,4,94027,4,Mexico,North America,CO
